created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Jul 28 11:18:25 +0000 2023;1684886020356198400;"@Ghotslike @calllvee @Heraloebss Ya makanya sekarang ada sepeda listrik tolol. Itu lebih aman daripada motor. Kalo urusan ketabrak mah, sepeda biasa juga bisa ketabrak. Mikir ga sih lu?";0;1;0;0;in;1237844551;1684849364169322496;berry_yumafian;https://twitter.com/berry_yumafian/status/1684886020356198400
Fri Jul 28 11:18:21 +0000 2023;1684886003826503681;"@Heraloebss haduh haduh dulu motor sekarang sepeda listrik tapi permasalahannya dibawa sama anak bawah umur terus ugal ugalan 🙂";0;0;0;0;in;1307676797589364738;1684849364169322496;sialeale1000an;https://twitter.com/sialeale1000an/status/1684886003826503681
Fri Jul 28 11:17:45 +0000 2023;1684885851673923585;"Marak sepeda listrik dijalan raya @DivHumas_Polri juga lampu LED pd motor dan mobil bikin mata meleleh";0;0;0;0;in;756482594636652545;1684885851673923585;mus_theib;https://twitter.com/mus_theib/status/1684885851673923585
Fri Jul 28 11:16:48 +0000 2023;1684885611856224257;"Masih Bingung Mau Beli Mobil Listrik Dimana ?? Super Apps PLN Mobile Dong. #PakaiMolisYuk #الاتحاد_الترجي  #ArjosMaineEvent  #BroTheAvatar  #DDReturns  Gampang kan Beli Motor. https://t.co/wW3XMrgsPW";0;0;0;1;in;1621326179973365761;1684885611856224257;bluelock822;https://twitter.com/bluelock822/status/1684885611856224257
Fri Jul 28 11:13:37 +0000 2023;1684884812426039296;"@Heraloebss Sepeda listrik ga ada suaranya dan ngebut banget. Gw aja naik ojek online yg motor listrik, masih ngeri ngeri sedap, karena ga ada suaranya.";0;0;0;0;in;19481173;1684849364169322496;thia_w;https://twitter.com/thia_w/status/1684884812426039296
Fri Jul 28 11:13:29 +0000 2023;1684884777370099712;"Kalau Mau Hemat ya Harus Beralih ke Kendaraan Listrik Sih dari Sekarang. #PakaiMolisYuk #BroTheAvatar  #DDReturns  #BBNaija  Yuk Gengs, Pakai Motor Hemat Lingkungan Mulai dari Sekarang.! https://t.co/GBsuiCk4rM";0;0;0;1;in;1626443511230001154;1684884777370099712;rahmatpoop1;https://twitter.com/rahmatpoop1/status/1684884777370099712
Fri Jul 28 11:11:58 +0000 2023;1684884396921454592;"Kalau Mau Hemat Ya Harus Beralih ke Kendaraan Listrik Sih Mulai dari Sekarang. #PakaiMolisYuk #الاتحاد_الترجي  #ArjosMaineEvent  #BroTheAvatar  Kuy Pakai Motor Hemat Lingkungan. https://t.co/yuawYxWyA6";0;0;0;1;in;1625428606574010368;1684884396921454592;rahmatpoop22;https://twitter.com/rahmatpoop22/status/1684884396921454592
Fri Jul 28 11:10:39 +0000 2023;1684884066146103296;"@Heraloebss Oiyaa, tadi aku naik motor juga hampir nabrak bocil bawa sepeda listrik yang tiba tiba kekanan🥲 hadeuh, alhamdulillahnya aku ga ketabrak sama mobil yang dibelakang aku ya allah";0;0;0;0;in;1079535723034755072;1684849364169322496;ncii3009;https://twitter.com/ncii3009/status/1684884066146103296
Fri Jul 28 11:08:17 +0000 2023;1684883468008951808;"Beberapa Tahun ke Depan Motor Listrik Semakin Banyak Loh, Yuk Beralih Ke Kendaraan Listrik Sekarang Juga Sebelum Ketinggalan. #PakaiMolisYuk #ArjosMaineEvent  #Ukraine  #BroTheAvatar  Jangan Sampai Ketinggalan Trend ya https://t.co/4TZyh9JNIC";0;0;0;1;in;1666081681709871110;1684883468008951808;putrimonica0208;https://twitter.com/putrimonica0208/status/1684883468008951808
Fri Jul 28 11:05:15 +0000 2023;1684882704633126913;"@berry_yumafian @calllvee @Heraloebss Statement mu tolol, ampas. Seolah membenarkan penggunaan sepeda listrik buat anak kecil, juga motor. Berarti ortu mu jg ikutan tolol. Anak SMP udh diizinin bawa motor.";0;1;0;0;in;128463519;1684849364169322496;Ghotslike;https://twitter.com/Ghotslike/status/1684882704633126913
